satisfacción disponibilidad espacios, facilidad acceso , medio transporte,utiliza su carro y lo parquea,minutos para encontrar parqueadero,día de la semana,jornada,hora,no encontró parqueadero
4,4,Carro,Siempre,5,Lunes,Mañana,6:50:00 AM,0
5,5,Carro,Regularmente,1,Martes,Mañana,6:20:00 AM,0
2,3,Carro,Siempre,15,"Martes, Miércoles, Jueves, Viernes",Tarde,2:00:00 PM,10
4,3,Pie,Nunca,0,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",Mañana,8:00:00 AM,0
4,3,Carro,Regularmente,10,"Lunes, Martes, Miércoles, Viernes",Mañana,7:00:00 AM,4
3,2,Moto,Siempre,1,"Lunes, Martes, Miércoles, Jueves, Viernes",Mañana,7:00:00 AM,5
3,3,Carro,Regularmente,10,"Lunes, Jueves",Mañana,9:00:00 AM,10
3,3,MIO ,Nunca,0,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",Mañana,10:00:00 AM,0
3,4,Mio,Nunca,0,Sábado,Mañana,2:00:00 AM,10
4,4,Bicicleta,Siempre,10,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",Mañana,7:00:00 AM,0
2,2,Carro,Siempre,15,"Martes, Jueves, Viernes",Mañana,7:00:00 AM,3
5,4,Moto,Siempre,3,"Lunes, Martes, Miércoles, Jueves, Viernes",Mañana,10:50:00 AM,0
2,3,Carro,Siempre,10,"Lunes, Martes, Jueves, Viernes",Mañana,9:00:00 AM,4
3,3,Carro,Regularmente,5,"Lunes, Martes, Miércoles, Jueves, Viernes",Mañana,6:50:00 AM,0
4,4,Carro,Siempre,5,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",Mañana,9:00:00 AM,0
3,2,Carro,Siempre,20,"Lunes, Martes, Miércoles, Jueves, Viernes",Mañana,8:30:00 AM,5
4,3,Carro,Siempre,5,"Lunes, Miércoles",Tarde,12:00:00 PM,0
3,2,Moto,Muy raro,20,"Lunes, Martes, Miércoles, Jueves, Viernes",Mañana,6:30:00 AM,6
5,5,Carro,Siempre,1,"Lunes, Martes, Miércoles, Jueves, Viernes",Mañana,8:00:00 AM,0
5,4,Carro,Siempre,9,"Lunes, Miércoles, Viernes",Mañana,8:00:00 AM,7
3,3,Carro,Nunca,0,Miércoles,Mañana,10:00:00 PM,3
4,5,Moto,Siempre,3,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",Mañana,8:50:00 AM,0
